monitordate,aqi,so2subindex,cosubindex,pm10subindex,no2subindex,o38subindex,pm25subindex
2022-11-22,61,2,2,41,17,50,61
2022-11-22,43,2,1,23,10,43,23
2022-11-22,67,5,3,56,20,,67
2022-11-22,21,0,1,9,12,21,11
2022-11-22,50,0,3,33,8,50,43
2022-11-22,60,10,3,35,42,29,60
2022-11-22,68,20,7,31,33,42,68
2022-11-22,76,5,6,44,27,40,76
2022-11-22,87,10,12,57,57,,87
2022-11-22,58,2,15,22,58,,51
2022-11-22,121,5,6,71,45,48,121
2022-11-22,58,50,15,33,56,,58
2022-11-22,63,5,12,23,63,,36
2022-11-22,30,2,3,21,30,21,15
2022-11-22,31,2,3,13,23,31,18
2022-11-22,46,2,2,15,13,46,34
2022-11-22,27,0,2,12,22,27,14
2022-11-22,22,0,3,12,20,22,4
2022-11-22,31,2,1,6,2,31,5
2022-11-22,132,28,7,64,37,132,108
2022-11-22,94,5,6,65,42,77,94
2022-11-22,93,10,7,58,62,44,93
2022-11-22,90,10,8,59,56,,90
2022-11-22,97,10,7,66,48,43,97
2022-11-22,90,12,6,,55,49,90
2022-11-22,91,5,6,75,48,49,91
2022-11-22,72,15,5,60,40,58,72
2022-11-22,96,20,6,60,53,50,96
2022-11-22,102,8,9,56,56,,102
2022-11-22,102,12,6,59,52,47,102
2022-11-22,105,8,6,72,48,44,105
2022-11-22,70,5,3,40,17,44,70
2022-11-22,100,5,10,62,51,41,100
2022-11-22,95,5,6,69,32,46,95
2022-11-22,96,5,5,61,27,44,96
2022-11-22,97,2,6,78,30,49,97
2022-11-22,114,18,7,82,38,46,114
2022-11-22,65,10,3,50,35,,65
2022-11-22,88,5,5,72,23,45,88
2022-11-22,101,5,6,84,25,45,101
2022-11-22,102,5,6,87,32,40,102
2022-11-22,133,5,5,87,32,46,133
2022-11-22,118,2,6,71,51,44,118
2022-11-22,89,8,6,78,30,41,89
2022-11-22,74,12,6,61,37,,74
2022-11-22,101,15,6,78,45,32,101
2022-11-22,108,5,7,68,51,38,108
2022-11-22,89,5,7,59,47,37,89
2022-11-22,95,5,7,68,51,41,95
2022-11-22,79,8,6,59,45,38,79
2022-11-22,94,2,6,53,38,27,94
2022-11-22,80,5,3,41,30,40,80
2022-11-22,72,5,5,48,28,40,72
2022-11-22,52,8,5,40,40,,52
2022-11-22,52,10,5,33,42,31,52
2022-11-22,64,2,3,32,30,38,64
2022-11-22,49,5,3,25,35,36,49
2022-11-22,41,15,5,28,40,37,41
2022-11-22,74,74,3,30,42,34,52
2022-11-22,36,2,2,22,25,36,31
2022-11-22,48,5,3,24,48,33,27
2022-11-22,49,15,5,28,35,38,49
2022-11-22,53,5,11,28,53,,41
2022-11-22,52,2,6,28,52,31,27
2022-11-22,58,2,7,25,58,37,48
2022-11-22,55,2,8,21,55,32,42
2022-11-22,57,5,8,28,57,27,38
2022-11-22,40,8,3,20,40,34,29
2022-11-22,34,2,2,11,23,34,24
2022-11-22,37,5,3,15,37,37,31
2022-11-22,50,5,5,21,50,35,38
2022-11-22,42,2,3,24,42,38,37
2022-11-22,48,5,7,25,48,40,45
2022-11-22,48,8,7,27,48,44,38
2022-11-22,45,2,6,22,45,44,32
2022-11-22,34,2,3,25,30,34,29
2022-11-22,55,5,6,19,55,37,35
2022-11-22,48,8,5,20,48,30,28
2022-11-21,61,2,2,39,17,61,58
2022-11-21,50,0,2,28,5,50,31
2022-11-21,53,2,3,44,13,,53
2022-11-21,30,0,1,8,8,30,9
2022-11-21,64,0,2,32,7,64,44
2022-11-21,74,18,3,38,45,74,55
2022-11-21,77,2,3,31,10,77,61
2022-11-21,80,5,5,40,17,80,72
2022-11-21,65,5,7,42,33,,65
2022-11-21,40,0,6,15,40,,31
2022-11-21,87,2,5,53,27,84,87
2022-11-21,54,2,12,21,54,,25
2022-11-21,52,2,10,20,52,,27
2022-11-21,47,5,5,19,47,21,16
2022-11-21,31,2,3,10,27,31,20
2022-11-21,41,5,2,4,3,41,
2022-11-21,32,0,3,12,23,32,19
2022-11-21,30,0,2,12,12,30,6
2022-11-21,33,0,1,4,0,33,4
2022-11-21,78,5,3,46,20,64,78
2022-11-21,74,8,5,48,28,58,74
2022-11-21,75,8,5,42,50,35,75
2022-11-21,71,5,6,43,37,,71
2022-11-21,72,5,5,47,33,50,72
2022-11-21,68,5,3,,33,49,68
2022-11-21,62,5,5,50,35,48,62
2022-11-21,59,8,3,48,38,45,59
2022-11-21,78,20,6,47,45,43,78
2022-11-21,83,10,9,47,48,,83
2022-11-21,73,8,5,40,37,43,73
2022-11-21,72,5,5,50,35,46,72
2022-11-21,70,2,3,42,18,50,70
2022-11-21,63,2,9,39,40,47,63
2022-11-21,61,2,5,47,25,51,61
2022-11-21,61,2,3,40,27,48,61
2022-11-21,65,5,5,52,25,64,65
2022-11-21,74,8,5,55,25,67,74
2022-11-21,59,8,3,43,17,,59
2022-11-21,66,8,3,54,22,54,66
2022-11-21,73,5,3,59,23,64,73
2022-11-21,82,5,3,63,12,47,82
2022-11-21,97,5,5,67,22,77,97
2022-11-21,88,12,7,54,52,77,88
2022-11-21,66,12,3,58,18,51,66
2022-11-21,61,18,5,49,32,,61
2022-11-21,76,18,6,61,51,39,76
2022-11-21,76,2,5,51,55,64,76
2022-11-21,67,2,7,48,56,67,65
2022-11-21,75,8,6,60,53,61,75
2022-11-21,60,2,5,44,52,50,60
2022-11-21,63,5,5,38,30,42,63
2022-11-21,56,2,3,31,18,54,56
2022-11-21,47,2,5,28,35,42,47
2022-11-21,47,5,5,19,47,,22
2022-11-21,39,2,3,14,32,39,16
2022-11-21,39,2,3,13,22,39,24
2022-11-21,38,2,3,13,25,38,21
2022-11-21,34,2,3,12,28,34,5
2022-11-21,36,2,5,13,28,36,21
2022-11-21,38,15,2,29,28,38,36
2022-11-21,43,20,3,23,43,33,24
2022-11-21,33,2,3,16,23,33,28
2022-11-21,47,2,6,26,47,,40
2022-11-21,40,2,3,26,40,31,21
2022-11-21,31,2,3,16,30,31,29
2022-11-21,35,2,5,17,35,31,29
2022-11-21,42,0,6,20,42,30,25
2022-11-21,38,0,2,18,12,38,25
2022-11-21,37,2,2,11,10,37,26
2022-11-21,36,2,3,15,30,36,18
2022-11-21,34,2,3,15,20,34,30
2022-11-21,34,0,3,20,20,34,22
2022-11-21,32,2,5,13,32,31,30
2022-11-21,33,2,5,16,30,33,13
2022-11-21,32,5,3,16,18,32,19
2022-11-21,43,2,2,34,10,43,35
2022-11-21,35,5,3,13,35,32,24
2022-11-21,36,0,3,22,27,36,33
2022-11-20,45,5,1,24,13,45,32
2022-11-20,47,2,0,24,7,47,22
2022-11-20,38,5,2,35,20,,38
2022-11-20,30,0,1,8,3,30,14
2022-11-20,46,0,1,23,5,46,28
2022-11-20,64,8,5,40,40,64,60
2022-11-20,39,2,3,19,15,36,39
2022-11-20,58,5,5,28,22,54,58
2022-11-20,101,5,7,58,42,,101
2022-11-20,52,2,5,19,52,,33
2022-11-20,79,2,3,43,23,64,79
2022-11-20,42,2,8,22,42,,28
2022-11-20,52,2,10,16,52,,22
2022-11-20,32,0,2,14,13,32,5
2022-11-20,31,2,2,9,17,31,13
2022-11-20,41,2,1,9,0,41,4
